node1	label	node2
xml-schema-type	prefix_expansion	"http://www.w3.org/2001/XMLSchema#"
ulan_scopeNote	prefix_expansion	"http://vocab.getty.edu/ulan/scopeNote/"
tgn_term	prefix_expansion	"http://vocab.getty.edu/tgn/term/"
rrx	prefix_expansion	"http://purl.org/r2rml-ext/"
tgn_scopeNote	prefix_expansion	"http://vocab.getty.edu/tgn/scopeNote/"
bio	prefix_expansion	"http://purl.org/vocab/bio/0.1/"
sd	prefix_expansion	"http://www.w3.org/ns/sparql-service-description#"
bibo	prefix_expansion	"http://purl.org/ontology/bibo/"
ulan	prefix_expansion	"http://vocab.getty.edu/ulan/"
voag	prefix_expansion	"	prefix_expansion	"http://voag.linkedmodel.org/voag#"
wv	prefix_expansion	"http://vocab.org/waiver/terms/"
rr	prefix_expansion	"http://www.w3.org/ns/r2rml#"
ulan_event	prefix_expansion	"http://vocab.getty.edu/ulan/event/"
wgs	prefix_expansion	"http://www.w3.org/2003/01/geo/wgs84_pos#"
ulan_contrib	prefix_expansion	"http://vocab.getty.edu/ulan/contrib/"
luc	prefix_expansion	"http://www.ontotext.com/owlim/lucene#"
ulan_rev	prefix_expansion	"http://vocab.getty.edu/ulan/rev/"
dcat	prefix_expansion	"http://www.w3.org/ns/dcat#"
ulan_term	prefix_expansion	"http://vocab.getty.edu/ulan/term/"
aat_scopeNote	prefix_expansion	"http://vocab.getty.edu/aat/scopeNote/"
voaf	prefix_expansion	"http://purl.org/vocommons/voaf#"
void	prefix_expansion	"http://rdfs.org/ns/void#"
aat_rel	prefix_expansion	"http://vocab.getty.edu/aat/rel/"
fmt	prefix_expansion	"http://www.w3.org/ns/formats/"
ulan_bio	prefix_expansion	"http://vocab.getty.edu/ulan/bio/"
tgn_contrib	prefix_expansion	"http://vocab.getty.edu/tgn/contrib/"
owl	prefix_expansion	"http://www.w3.org/2002/07/owl#"
skosxl	prefix_expansion	"http://www.w3.org/2008/05/skos-xl#"
sesame	prefix_expansion	"http://www.openrdf.org/schema/sesame#"
ulan_rel	prefix_expansion	"http://vocab.getty.edu/ulan/rel/"
tgn_rev	prefix_expansion	"http://vocab.getty.edu/tgn/rev/"
aat	prefix_expansion	"http://vocab.getty.edu/aat/"
tgn	prefix_expansion	"http://vocab.getty.edu/tgn/"
ontogeo	prefix_expansion	"http://www.ontotext.com/owlim/geo#"
aat_rev	prefix_expansion	"http://vocab.getty.edu/aat/rev/"
prov	prefix_expansion	"http://www.w3.org/ns/prov#"
gvp	prefix_expansion	"http://vocab.getty.edu/ontology#"
tgn_rel	prefix_expansion	"http://vocab.getty.edu/tgn/rel/"
schema	prefix_expansion	"http://schema.org/"
ptop	prefix_expansion	"http://www.ontotext.com/proton/protontop#"
wdrs	prefix_expansion	"http://www.w3.org/2007/05/powder-s#"
aat_term	prefix_expansion	"http://vocab.getty.edu/aat/term/"
rdf	prefix_expansion	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
ulan_source_rev	prefix_expansion	"http://vocab.getty.edu/ulan/source/rev/"
foaf	prefix_expansion	"http://xmlns.com/foaf/0.1/"
tgn_source	prefix_expansion	"http://vocab.getty.edu/tgn/source/"
vaem	prefix_expansion	"http://www.linkedmodel.org/schema/vaem#"
dctype	prefix_expansion	"http://purl.org/dc/dcmitype/"
dcterm	prefix_expansion	"http://purl.org/dc/terms/"
iso	prefix_expansion	"http://purl.org/iso25964/skos-thes#"
aat_contrib	prefix_expansion	"http://vocab.getty.edu/aat/contrib/"
skos	prefix_expansion	"http://www.w3.org/2004/02/skos/core#"
vdpp	prefix_expansion	"http://data.lirmm.fr/ontologies/vdpp#"
adms	prefix_expansion	"http://www.w3.org/ns/adms#"
gvp_lang	prefix_expansion	"http://vocab.getty.edu/language/"
dc	prefix_expansion	"http://purl.org/dc/elements/1.1/"
aat_source_rev	prefix_expansion	"http://vocab.getty.edu/aat/source/rev/"
vann	prefix_expansion	"http://purl.org/vocab/vann/"
vcard	prefix_expansion	"http://www.w3.org/2006/vcard/ns#"
ulan_source	prefix_expansion	"http://vocab.getty.edu/ulan/source/"
cc	prefix_expansion	"http://creativecommons.org/ns#"
rdfs	prefix_expansion	"http://www.w3.org/2000/01/rdf-schema#"
