node1	label	node2	id
Q103940464	P31xcount_transitive	13870	Q103940464-P31xcount_transitive-9a9c3a
Q154954	P31xcount_transitive	13870	Q154954-P31xcount_transitive-9a9c3a
Q159344	P31xcount_transitive	13870	Q159344-P31xcount_transitive-9a9c3a
Q164509	P31xcount_transitive	13870	Q164509-P31xcount_transitive-9a9c3a
Q16887380	P31xcount_transitive	13870	Q16887380-P31xcount_transitive-9a9c3a
Q18336849	P31xcount_transitive	13870	Q18336849-P31xcount_transitive-9a9c3a
Q215627	P31xcount_transitive	13870	Q215627-P31xcount_transitive-9a9c3a
Q23958946	P31xcount_transitive	13870	Q23958946-P31xcount_transitive-9a9c3a
Q24229398	P31xcount_transitive	13870	Q24229398-P31xcount_transitive-9a9c3a
Q26720107	P31xcount_transitive	13870	Q26720107-P31xcount_transitive-9a9c3a
Q27043950	P31xcount_transitive	13870	Q27043950-P31xcount_transitive-9a9c3a
Q28813620	P31xcount_transitive	13870	Q28813620-P31xcount_transitive-9a9c3a
Q35120	P31xcount_transitive	13870	Q35120-P31xcount_transitive-9a9c3a
Q3778211	P31xcount_transitive	13870	Q3778211-P31xcount_transitive-9a9c3a
Q45983014	P31xcount_transitive	13870	Q45983014-P31xcount_transitive-9a9c3a
Q5	P31xcount_transitive	13870	Q5-P31xcount_transitive-9a9c3a
Q53617489	P31xcount_transitive	13870	Q53617489-P31xcount_transitive-9a9c3a
Q7239	P31xcount_transitive	13870	Q7239-P31xcount_transitive-9a9c3a
Q72638	P31xcount_transitive	13870	Q72638-P31xcount_transitive-9a9c3a
Q795052	P31xcount_transitive	13870	Q795052-P31xcount_transitive-9a9c3a
Q830077	P31xcount_transitive	13870	Q830077-P31xcount_transitive-9a9c3a
Q99527517	P31xcount_transitive	13870	Q99527517-P31xcount_transitive-9a9c3a
Q702269	P31xcount_transitive	7270	Q702269-P31xcount_transitive-609c24
Q1251441	P31xcount_transitive	3608	Q1251441-P31xcount_transitive-86e838
Q978044	P31xcount_transitive	3303	Q978044-P31xcount_transitive-19b8db
Q25713832	P31xcount_transitive	3301	Q25713832-P31xcount_transitive-670476
Q2462658	P31xcount_transitive	3217	Q2462658-P31xcount_transitive-5d4048
Q2500638	P31xcount_transitive	3134	Q2500638-P31xcount_transitive-58bc5b
Q327055	P31xcount_transitive	3091	Q327055-P31xcount_transitive-550438
Q482980	P31xcount_transitive	3091	Q482980-P31xcount_transitive-550438
Q36180	P31xcount_transitive	2957	Q36180-P31xcount_transitive-d04bab
Q16686448	P31xcount_transitive	2902	Q16686448-P31xcount_transitive-1ff006
Q937228	P31xcount_transitive	2898	Q937228-P31xcount_transitive-46b360
Q1207505	P31xcount_transitive	2895	Q1207505-P31xcount_transitive-6fa893
Q214339	P31xcount_transitive	2892	Q214339-P31xcount_transitive-36be81
Q4897819	P31xcount_transitive	2892	Q4897819-P31xcount_transitive-36be81
Q4164871	P31xcount_transitive	2891	Q4164871-P31xcount_transitive-09c2a7
Q483501	P31xcount_transitive	2575	Q483501-P31xcount_transitive-e7303a
Q1162163	P31xcount_transitive	2526	Q1162163-P31xcount_transitive-565330
Q59260362	P31xcount_transitive	2526	Q59260362-P31xcount_transitive-565330
Q58415929	P31xcount_transitive	2325	Q58415929-P31xcount_transitive-675fa5
Q1190554	P31xcount_transitive	2319	Q1190554-P31xcount_transitive-4f272e
Q1914636	P31xcount_transitive	2319	Q1914636-P31xcount_transitive-4f272e
Q20937557	P31xcount_transitive	2319	Q20937557-P31xcount_transitive-4f272e
Q26907166	P31xcount_transitive	2319	Q26907166-P31xcount_transitive-4f272e
Q4026292	P31xcount_transitive	2319	Q4026292-P31xcount_transitive-4f272e
Q16532276	P31xcount_transitive	2309	Q16532276-P31xcount_transitive-e0b08a
Q192581	P31xcount_transitive	2309	Q192581-P31xcount_transitive-e0b08a
Q61788060	P31xcount_transitive	2309	Q61788060-P31xcount_transitive-e0b08a
Q6958747	P31xcount_transitive	2309	Q6958747-P31xcount_transitive-e0b08a
Q12737077	P31xcount_transitive	2308	Q12737077-P31xcount_transitive-e7f63b
Q28640	P31xcount_transitive	2308	Q28640-P31xcount_transitive-e7f63b
Q43845	P31xcount_transitive	2148	Q43845-P31xcount_transitive-2c6499
Q713200	P31xcount_transitive	1912	Q713200-P31xcount_transitive-a991b8
Q33999	P31xcount_transitive	1911	Q33999-P31xcount_transitive-dc4bc8
Q16889133	P31xcount_transitive	1875	Q16889133-P31xcount_transitive-af9d00
Q16334295	P31xcount_transitive	1860	Q16334295-P31xcount_transitive-5cd5e6
Q16334298	P31xcount_transitive	1860	Q16334298-P31xcount_transitive-5cd5e6
Q61961344	P31xcount_transitive	1860	Q61961344-P31xcount_transitive-5cd5e6
Q98119401	P31xcount_transitive	1860	Q98119401-P31xcount_transitive-5cd5e6
Q82955	P31xcount_transitive	1857	Q82955-P31xcount_transitive-255afc
Q20826540	P31xcount_transitive	1834	Q20826540-P31xcount_transitive-777abb
Q15980158	P31xcount_transitive	1810	Q15980158-P31xcount_transitive-1a0980
Q1650915	P31xcount_transitive	1791	Q1650915-P31xcount_transitive-d62e1c
Q1914017	P31xcount_transitive	1791	Q1914017-P31xcount_transitive-d62e1c
Q294414	P31xcount_transitive	1707	Q294414-P31xcount_transitive-78f911
Q703534	P31xcount_transitive	1533	Q703534-P31xcount_transitive-15310f
Q852998	P31xcount_transitive	1533	Q852998-P31xcount_transitive-15310f
Q901	P31xcount_transitive	1485	Q901-P31xcount_transitive-c010bb
Q15980804	P31xcount_transitive	1400	Q15980804-P31xcount_transitive-55fdec
Q16532929	P31xcount_transitive	1398	Q16532929-P31xcount_transitive-b41f1a
Q572700	P31xcount_transitive	1397	Q572700-P31xcount_transitive-67b759
Q212238	P31xcount_transitive	1396	Q212238-P31xcount_transitive-7b4f6f
Q382887	P31xcount_transitive	1396	Q382887-P31xcount_transitive-7b4f6f
Q599151	P31xcount_transitive	1396	Q599151-P31xcount_transitive-7b4f6f
Q80363469	P31xcount_transitive	1396	Q80363469-P31xcount_transitive-7b4f6f
Q488383	P31xcount_transitive	1366	Q488383-P31xcount_transitive-a6f988
Q93918935	P31xcount_transitive	1265	Q93918935-P31xcount_transitive-23b0cc
Q974144	P31xcount_transitive	1265	Q974144-P31xcount_transitive-23b0cc
Q37226	P31xcount_transitive	1257	Q37226-P31xcount_transitive-92abb8
Q2285706	P31xcount_transitive	1222	Q2285706-P31xcount_transitive-16a3e9
Q7184903	P31xcount_transitive	1212	Q7184903-P31xcount_transitive-cbfad0
Q2248623	P31xcount_transitive	1161	Q2248623-P31xcount_transitive-f1de64
Q3400985	P31xcount_transitive	1150	Q3400985-P31xcount_transitive-0eaa69
Q4359236	P31xcount_transitive	1150	Q4359236-P31xcount_transitive-0eaa69
Q5428874	P31xcount_transitive	1150	Q5428874-P31xcount_transitive-0eaa69
Q11028	P31xcount_transitive	1131	Q11028-P31xcount_transitive-af6b49
Q1786828	P31xcount_transitive	1010	Q1786828-P31xcount_transitive-7a5df5
Q20817253	P31xcount_transitive	1010	Q20817253-P31xcount_transitive-7a5df5
Q29651519	P31xcount_transitive	1010	Q29651519-P31xcount_transitive-7a5df5
Q5371079	P31xcount_transitive	1010	Q5371079-P31xcount_transitive-7a5df5
Q111352	P31xcount_transitive	1009	Q111352-P31xcount_transitive-6ad4a6
Q12767945	P31xcount_transitive	1009	Q12767945-P31xcount_transitive-6ad4a6
Q187931	P31xcount_transitive	1009	Q187931-P31xcount_transitive-6ad4a6
Q2944660	P31xcount_transitive	1009	Q2944660-P31xcount_transitive-6ad4a6
Q3695082	P31xcount_transitive	1009	Q3695082-P31xcount_transitive-6ad4a6
Q8171	P31xcount_transitive	1009	Q8171-P31xcount_transitive-6ad4a6
Q82799	P31xcount_transitive	1009	Q82799-P31xcount_transitive-6ad4a6
Q131524	P31xcount_transitive	1004	Q131524-P31xcount_transitive-75992a
Q618779	P31xcount_transitive	1003	Q618779-P31xcount_transitive-8c9a01
Q216353	P31xcount_transitive	1001	Q216353-P31xcount_transitive-fe675f
Q1569495	P31xcount_transitive	994	Q1569495-P31xcount_transitive-8c004c
Q1622272	P31xcount_transitive	994	Q1622272-P31xcount_transitive-8c004c
Q7810129	P31xcount_transitive	994	Q7810129-P31xcount_transitive-8c004c
Q372436	P31xcount_transitive	981	Q372436-P31xcount_transitive-aaf506
Q48352	P31xcount_transitive	981	Q48352-P31xcount_transitive-aaf506
Q13235160	P31xcount_transitive	921	Q13235160-P31xcount_transitive-7e07ae
Q3282637	P31xcount_transitive	881	Q3282637-P31xcount_transitive-28096b
Q6671777	P31xcount_transitive	878	Q6671777-P31xcount_transitive-f19165
Q28389	P31xcount_transitive	809	Q28389-P31xcount_transitive-0b06d2
Q83307	P31xcount_transitive	729	Q83307-P31xcount_transitive-509694
Q3455803	P31xcount_transitive	709	Q3455803-P31xcount_transitive-92c5fd
Q43229	P31xcount_transitive	696	Q43229-P31xcount_transitive-677fe6
Q895526	P31xcount_transitive	682	Q895526-P31xcount_transitive-ec1c7d
Q2526255	P31xcount_transitive	674	Q2526255-P31xcount_transitive-8ef532
Q14212	P31xcount_transitive	660	Q14212-P31xcount_transitive-fc9e91
Q30461	P31xcount_transitive	643	Q30461-P31xcount_transitive-62e66f
Q16727193	P31xcount_transitive	632	Q16727193-P31xcount_transitive-3bcc13
Q57735705	P31xcount_transitive	589	Q57735705-P31xcount_transitive-fbe697
Q185351	P31xcount_transitive	584	Q185351-P31xcount_transitive-085bcb
Q40348	P31xcount_transitive	534	Q40348-P31xcount_transitive-5ef651
Q201788	P31xcount_transitive	513	Q201788-P31xcount_transitive-39700d
Q2405480	P31xcount_transitive	475	Q2405480-P31xcount_transitive-b1585f
Q193391	P31xcount_transitive	461	Q193391-P31xcount_transitive-de482c
Q4175034	P31xcount_transitive	451	Q4175034-P31xcount_transitive-caa1ae
Q15319501	P31xcount_transitive	402	Q15319501-P31xcount_transitive-b7c747
Q9200127	P31xcount_transitive	370	Q9200127-P31xcount_transitive-f1607c
Q1097498	P31xcount_transitive	368	Q1097498-P31xcount_transitive-8e6aee
Q15296531	P31xcount_transitive	368	Q15296531-P31xcount_transitive-8e6aee
Q15401930	P31xcount_transitive	368	Q15401930-P31xcount_transitive-8e6aee
Q486839	P31xcount_transitive	366	Q486839-P31xcount_transitive-600b4c
Q223557	P31xcount_transitive	365	Q223557-P31xcount_transitive-4e47eb
Q4406616	P31xcount_transitive	365	Q4406616-P31xcount_transitive-4e47eb
Q8205328	P31xcount_transitive	365	Q8205328-P31xcount_transitive-4e47eb
Q11997597	P31xcount_transitive	361	Q11997597-P31xcount_transitive-73daa9
Q1150070	P31xcount_transitive	355	Q1150070-P31xcount_transitive-355d8c
Q248577	P31xcount_transitive	341	Q248577-P31xcount_transitive-524b2d
Q5352191	P31xcount_transitive	281	Q5352191-P31xcount_transitive-71a1c0
Q1208175	P31xcount_transitive	278	Q1208175-P31xcount_transitive-ee62de
Q17291399	P31xcount_transitive	278	Q17291399-P31xcount_transitive-ee62de
Q1970438	P31xcount_transitive	278	Q1970438-P31xcount_transitive-ee62de
Q74649115	P31xcount_transitive	278	Q74649115-P31xcount_transitive-ee62de
Q222344	P31xcount_transitive	275	Q222344-P31xcount_transitive-3a1dfb
Q81096	P31xcount_transitive	274	Q81096-P31xcount_transitive-718127
Q1930187	P31xcount_transitive	262	Q1930187-P31xcount_transitive-9e6a72
Q132050	P31xcount_transitive	258	Q132050-P31xcount_transitive-a30f4e
Q103838820	P31xcount_transitive	250	Q103838820-P31xcount_transitive-1e472b
Q17279032	P31xcount_transitive	250	Q17279032-P31xcount_transitive-1e472b
Q889821	P31xcount_transitive	250	Q889821-P31xcount_transitive-1e472b
Q255274	P31xcount_transitive	247	Q255274-P31xcount_transitive-396f80
Q188094	P31xcount_transitive	246	Q188094-P31xcount_transitive-37c20f
Q3249551	P31xcount_transitive	245	Q3249551-P31xcount_transitive-011af7
Q16722960	P31xcount_transitive	236	Q16722960-P31xcount_transitive-9a049b
Q3505845	P31xcount_transitive	236	Q3505845-P31xcount_transitive-9a049b
Q483247	P31xcount_transitive	236	Q483247-P31xcount_transitive-9a049b
