node1	label	node2	id
P10	P31	Q18610173	P10-P31-Q18610173-85ef4d24-0
P1000	P31	Q18608871	P1000-P31-Q18608871-093affb5-0
P1001	P31	Q15720608	P1001-P31-Q15720608-deeedec9-0
P1001	P31	Q22984026	P1001-P31-Q22984026-8beb0cfe-0
P1001	P31	Q22997934	P1001-P31-Q22997934-1e5b1a96-0
P1001	P31	Q61719275	P1001-P31-Q61719275-0ccc11a5-0
P1001	P31	Q70564278	P1001-P31-Q70564278-b92b04ba-0
P1004	P31	Q19829908	P1004-P31-Q19829908-6077b37d-0
P1004	P31	Q24075706	P1004-P31-Q24075706-ef209004-0
P1004	P31	Q27525351	P1004-P31-Q27525351-38495940-0
P1005	P31	Q55586529	P1005-P31-Q55586529-7ae81411-0
P1006	P31	Q19595382	P1006-P31-Q19595382-d22b6fda-0
P1006	P31	Q55586529	P1006-P31-Q55586529-c5e4ebdb-0
P1007	P31	Q19595382	P1007-P31-Q19595382-70d55bf9-0
P1007	P31	Q21745557	P1007-P31-Q21745557-465c655a-0
P101	P31	Q56457408	P101-P31-Q56457408-e7049103-0
P101	P31	Q57955292	P101-P31-Q57955292-b39914c4-0
P1012	P31	Q15720608	P1012-P31-Q15720608-86d951ce-0
P1012	P31	Q61719274	P1012-P31-Q61719274-3f61f56e-0
P1012	P31	Q61719275	P1012-P31-Q61719275-a5780963-0
P1013	P31	Q15720608	P1013-P31-Q15720608-045ac4e2-0
P1013	P31	Q61719275	P1013-P31-Q61719275-f3a9eaef-0
P1014	P31	Q27918607	P1014-P31-Q27918607-0c7ca838-0
P1014	P31	Q43831109	P1014-P31-Q43831109-a9abfe9c-0
P1014	P31	Q89560413	P1014-P31-Q89560413-bd49d170-0
P1015	P31	Q19595382	P1015-P31-Q19595382-deed404b-0
P1015	P31	Q19833377	P1015-P31-Q19833377-011273c5-0
P1015	P31	Q55586529	P1015-P31-Q55586529-45d23435-0
P1017	P31	Q19595382	P1017-P31-Q19595382-ab6d8b07-0
P1017	P31	Q60457486	P1017-P31-Q60457486-265b6812-0
P1017	P31	Q64263681	P1017-P31-Q64263681-7da53094-0
P1018	P31	Q20824104	P1018-P31-Q20824104-c8d3ff17-0
P102	P31	Q18608871	P102-P31-Q18608871-83dcc42a-0
P1022	P31	Q19847637	P1022-P31-Q19847637-3804f8c4-0
P1022	P31	Q24043375	P1022-P31-Q24043375-f0dae992-0
P1025	P31	Q29547399	P1025-P31-Q29547399-18bfbb5d-0
P1025	P31	Q96776953	P1025-P31-Q96776953-a18ace8f-0
P1026	P31	Q15720608	P1026-P31-Q15720608-49ceba04-0
P1026	P31	Q18608871	P1026-P31-Q18608871-86da4034-0
P1026	P31	Q18618644	P1026-P31-Q18618644-bad6ae35-0
P1026	P31	Q22984450	P1026-P31-Q22984450-5b6bde84-0
P1027	P31	Q18608993	P1027-P31-Q18608993-75a4a477-0
P1027	P31	Q56150830	P1027-P31-Q56150830-56249470-0
P1028	P31	Q18618644	P1028-P31-Q18618644-8827ce4d-0
P1028	P31	Q27918607	P1028-P31-Q27918607-1af49ae0-0
P103	P31	Q18608871	P103-P31-Q18608871-5d8f886e-0
P103	P31	Q18616084	P103-P31-Q18616084-bae2dfe9-0
P103	P31	Q26935994	P103-P31-Q26935994-03a5294f-0
P1031	P31	Q22984026	P1031-P31-Q22984026-093756ea-0
P1035	P31	Q18608871	P1035-P31-Q18608871-ee48768f-0
P1036	P31	Q95388829	P1036-P31-Q95388829-c00d4116-0
P1037	P31	Q18608993	P1037-P31-Q18608993-112c634f-0
P1038	P31	Q22964231	P1038-P31-Q22964231-3d9dd7ef-0
P1038	P31	Q26935994	P1038-P31-Q26935994-0a3ad342-0
P1040	P31	Q18618644	P1040-P31-Q18618644-f015e136-0
P1040	P31	Q22965162	P1040-P31-Q22965162-5fa7f1f3-0
P1043	P31	Q24043375	P1043-P31-Q24043375-967eecfa-0
P1043	P31	Q27048688	P1043-P31-Q27048688-29a9564f-0
P1045	P31	Q93433126	P1045-P31-Q93433126-adfbe382-0
P1047	P31	Q19595382	P1047-P31-Q19595382-ba35280d-0
P1047	P31	Q64263681	P1047-P31-Q64263681-41cbed71-0
P1049	P31	Q18608871	P1049-P31-Q18608871-3b70aaa4-0
P1049	P31	Q22983697	P1049-P31-Q22983697-4ecd0201-0
P1053	P31	Q19595382	P1053-P31-Q19595382-5f3740b8-0
P1053	P31	Q67155279	P1053-P31-Q67155279-88c53414-0
P1053	P31	Q80840868	P1053-P31-Q80840868-96f9e917-0
P1054	P31	Q29547399	P1054-P31-Q29547399-8d5e0e92-0
P1054	P31	Q96776953	P1054-P31-Q96776953-0a229ee7-0
P1056	P31	Q51122921	P1056-P31-Q51122921-2b66306a-0
P1058	P31	Q57589544	P1058-P31-Q57589544-97132fc3-0
P1059	P31	Q26235166	P1059-P31-Q26235166-666708c4-0
P106	P31	Q18608871	P106-P31-Q18608871-13251ae0-0
P106	P31	Q66309381	P106-P31-Q66309381-0aa3d31b-0
P106	P31	Q70564278	P106-P31-Q70564278-e26e28e0-0
P1064	P31	Q23310071	P1064-P31-Q23310071-3ab892ad-0
P1065	P31	Q15720608	P1065-P31-Q15720608-ab9a2e7e-0
P1065	P31	Q18608359	P1065-P31-Q18608359-f5ff14b0-0
P1065	P31	Q59910380	P1065-P31-Q59910380-e27d1808-0
P1066	P31	Q18608871	P1066-P31-Q18608871-0be6f962-0
P1066	P31	Q22984450	P1066-P31-Q22984450-84db3c9c-0
P1070	P31	Q42396390	P1070-P31-Q42396390-5e43a799-0
P1070	P31	Q56682212	P1070-P31-Q56682212-0563311a-0
P1071	P31	Q18618644	P1071-P31-Q18618644-73300f85-0
P1071	P31	Q51122921	P1071-P31-Q51122921-ffbf579e-0
P1074	P31	Q22984512	P1074-P31-Q22984512-3d7028f4-0
P1074	P31	Q28100549	P1074-P31-Q28100549-ec4e049b-0
P1075	P31	Q22984450	P1075-P31-Q22984450-fd72905e-0
P108	P31	Q18608871	P108-P31-Q18608871-cde4c25d-0
P108	P31	Q26935994	P108-P31-Q26935994-c5c08d44-0
P1080	P31	Q22984512	P1080-P31-Q22984512-5738ac46-0
P1081	P31	Q21451178	P1081-P31-Q21451178-be464561-0
P1082	P31	Q22984494	P1082-P31-Q22984494-a6f4be8f-0
P1083	P31	Q19829914	P1083-P31-Q19829914-ee52b43c-0
P1085	P31	Q19833377	P1085-P31-Q19833377-9595eb6a-0
P1085	P31	Q29547399	P1085-P31-Q29547399-bf031353-0
P1096	P31	Q21451142	P1096-P31-Q21451142-2e072ef9-0
P1098	P31	Q20824104	P1098-P31-Q20824104-9ac471b3-0
P1098	P31	Q22984494	P1098-P31-Q22984494-cb992996-0
P110	P31	Q29546443	P110-P31-Q29546443-7d4a08d0-0
P110	P31	Q29546563	P110-P31-Q29546563-355c1b6d-0
P110	P31	Q64830420	P110-P31-Q64830420-70845c59-0
P1101	P31	Q22964966	P1101-P31-Q22964966-9e0448fb-0
P1101	P31	Q614112	P1101-P31-Q614112-d6a2a1df-0
P1102	P31	Q22981316	P1102-P31-Q22981316-1b4c3b09-0
P1102	P31	Q22988631	P1102-P31-Q22988631-e77581cb-0
P1103	P31	Q22984363	P1103-P31-Q22984363-6cad04e4-0
P1103	P31	Q23310071	P1103-P31-Q23310071-00c457b9-0
P1104	P31	Q29546443	P1104-P31-Q29546443-06d4753f-0
P1104	P31	Q29546563	P1104-P31-Q29546563-21b358ed-0
P1104	P31	Q29548341	P1104-P31-Q29548341-92ae09b5-0
P1107	P31	Q15720608	P1107-P31-Q15720608-45df2528-0
P1107	P31	Q51092447	P1107-P31-Q51092447-39470b86-0
P1107	P31	Q61719275	P1107-P31-Q61719275-e93bfaa6-0
P1110	P31	Q22964785	P1110-P31-Q22964785-2147f1af-0
P1110	P31	Q28106586	P1110-P31-Q28106586-3547bf72-0
P1111	P31	Q15720608	P1111-P31-Q15720608-1263ebec-0
P1111	P31	Q22964818	P1111-P31-Q22964818-10839b3e-0
P1111	P31	Q64830420	P1111-P31-Q64830420-e6a31e0b-0
P1113	P31	Q18618644	P1113-P31-Q18618644-13561172-0
P1114	P31	Q18616576	P1114-P31-Q18616576-9f2a951a-0
P1114	P31	Q70564278	P1114-P31-Q70564278-0e2c3fb0-0
P112	P31	Q18608993	P112-P31-Q18608993-148dc7b9-0
P1120	P31	Q102046040	P1120-P31-Q102046040-36a101cb-0
P1120	P31	Q18608756	P1120-P31-Q18608756-1f8f7dbf-0
P1120	P31	Q22964785	P1120-P31-Q22964785-e6013b47-0
P1120	P31	Q28100241	P1120-P31-Q28100241-23839c8a-0
P1125	P31	Q21451178	P1125-P31-Q21451178-243731fd-0
P1128	P31	Q22964476	P1128-P31-Q22964476-688ef6fd-0
