node1	label	node2	id
P1082	Pproperty_units_used	Q186408	P1082-Pproperty_units_used-Q186408
P1082-Pproperty_units_used-Q186408	P1114	2	P1082-Pproperty_units_used-Q186408-P1114-2-0000
P1082	Pproperty_units_used	Q15621516	P1082-Pproperty_units_used-Q15621516
P1082-Pproperty_units_used-Q15621516	P1114	1	P1082-Pproperty_units_used-Q15621516-P1114-1-0000
P1082	Pproperty_units_used	Q5727902	P1082-Pproperty_units_used-Q5727902
P1082-Pproperty_units_used-Q5727902	P1114	1	P1082-Pproperty_units_used-Q5727902-P1114-1-0000
P1083	Pproperty_units_used	Q44666669	P1083-Pproperty_units_used-Q44666669
P1083-Pproperty_units_used-Q44666669	P1114	2	P1083-Pproperty_units_used-Q44666669-P1114-2-0000
P1083	Pproperty_units_used	Q42177	P1083-Pproperty_units_used-Q42177
P1083-Pproperty_units_used-Q42177	P1114	1	P1083-Pproperty_units_used-Q42177-P1114-1-0000
P1083	Pproperty_units_used	Q467	P1083-Pproperty_units_used-Q467
P1083-Pproperty_units_used-Q467	P1114	1	P1083-Pproperty_units_used-Q467-P1114-1-0000
P1092	Pproperty_units_used	Q11032	P1092-Pproperty_units_used-Q11032
P1092-Pproperty_units_used-Q11032	P1114	4	P1092-Pproperty_units_used-Q11032-P1114-4-0000
P1092	Pproperty_units_used	Q1110794	P1092-Pproperty_units_used-Q1110794
P1092-Pproperty_units_used-Q1110794	P1114	1	P1092-Pproperty_units_used-Q1110794-P1114-1-0000
P1101	Pproperty_units_used	Q831691	P1101-Pproperty_units_used-Q831691
P1101-Pproperty_units_used-Q831691	P1114	1	P1101-Pproperty_units_used-Q831691-P1114-1-0000
P1104	Pproperty_units_used	Q1069725	P1104-Pproperty_units_used-Q1069725
P1104-Pproperty_units_used-Q1069725	P1114	1	P1104-Pproperty_units_used-Q1069725-P1114-1-0000
P1114	Pproperty_units_used	Q15284	P1114-Pproperty_units_used-Q15284
P1114-Pproperty_units_used-Q15284	P1114	1	P1114-Pproperty_units_used-Q15284-P1114-1-0000
P1128	Pproperty_units_used	Q1543700	P1128-Pproperty_units_used-Q1543700
P1128-Pproperty_units_used-Q1543700	P1114	4	P1128-Pproperty_units_used-Q1543700-P1114-4-0000
P1128	Pproperty_units_used	Q47224253	P1128-Pproperty_units_used-Q47224253
P1128-Pproperty_units_used-Q47224253	P1114	2	P1128-Pproperty_units_used-Q47224253-P1114-2-0000
P1128	Pproperty_units_used	Q11563	P1128-Pproperty_units_used-Q11563
